Boro,Direction,avg_volume
Bronx,EB,113.21326173030538
Bronx,NB,130.75371431603523
Bronx,SB,140.95784882025683
Bronx,WB,128.9532334931342
Brooklyn,EB,91.52022197866658
Brooklyn,NB,91.91572213878892
Brooklyn,NS,4.807043650793651
Brooklyn,SB,105.10010198100102
Brooklyn,WB,101.35112587559752
Manhattan,EB,132.4641960041736
Manhattan,EW,215.50476992143658
Manhattan,NB,146.3624783957194
Manhattan,NS,7.595991561181434
Manhattan,SB,172.42174714576797
Manhattan,WB,147.27312031910293
Queens,EB,93.12907773897297
Queens,NB,112.25203966748407
Queens,SB,105.9961617927527
Queens,WB,104.82533550497368
Staten Island,EB,63.45400788436268
Staten Island,NB,111.68704244870906
Staten Island,SB,110.9327189229995
Staten Island,WB,60.575105770256336
