service,dow,dow_label,hour,avg_trips
fhv,6,Sun,19,11404.93
fhv,6,Sun,20,10751.13
fhv,6,Sun,21,10418.96
fhv,6,Sun,22,9984.22
fhv,6,Sun,23,8506.4
green,0,Mon,0,631.25
green,0,Mon,1,415.67
green,0,Mon,2,276.49
green,0,Mon,3,212.13
green,0,Mon,4,228.55
green,0,Mon,5,209.46
green,0,Mon,6,361.94
green,0,Mon,7,742.92
green,0,Mon,8,1102.71
green,0,Mon,9,1091.46
green,0,Mon,10,967.29
green,0,Mon,11,903.77
green,0,Mon,12,897.56
green,0,Mon,13,900.82
green,0,Mon,14,1002.41
green,0,Mon,15,1104.35
green,0,Mon,16,1188.51
green,0,Mon,17,1297.19
green,0,Mon,18,1375.2
green,0,Mon,19,1270.54
green,0,Mon,20,1072.63
green,0,Mon,21,941.31
green,0,Mon,22,816.81
green,0,Mon,23,679.4
green,1,Tue,0,497.9
green,1,Tue,1,323.96
green,1,Tue,2,202.56
green,1,Tue,3,147.83
green,1,Tue,4,159.84
green,1,Tue,5,174.58
green,1,Tue,6,353.8
green,1,Tue,7,773.14
green,1,Tue,8,1150.23
green,1,Tue,9,1139.29
green,1,Tue,10,1014.37
green,1,Tue,11,952.81
green,1,Tue,12,942.24
green,1,Tue,13,941.09
green,1,Tue,14,1045.96
green,1,Tue,15,1154.22
green,1,Tue,16,1236.57
green,1,Tue,17,1362.15
green,1,Tue,18,1480.87
green,1,Tue,19,1394.29
green,1,Tue,20,1190.68
green,1,Tue,21,1073.91
green,1,Tue,22,949.06
green,1,Tue,23,791.3
green,2,Wed,0,580.56
green,2,Wed,1,376.85
green,2,Wed,2,234.15
green,2,Wed,3,169.1
green,2,Wed,4,171.11
green,2,Wed,5,177.74
green,2,Wed,6,357.48
green,2,Wed,7,775.95
green,2,Wed,8,1166.98
green,2,Wed,9,1167.47
green,2,Wed,10,1038.71
green,2,Wed,11,988.33
green,2,Wed,12,988.4
green,2,Wed,13,988.26
green,2,Wed,14,1095.27
green,2,Wed,15,1201.43
green,2,Wed,16,1302.98
green,2,Wed,17,1458.97
green,2,Wed,18,1572.16
green,2,Wed,19,1496.61
green,2,Wed,20,1299.33
green,2,Wed,21,1187.46
green,2,Wed,22,1074.47
green,2,Wed,23,915.89
green,3,Thu,0,682.57
green,3,Thu,1,454.92
green,3,Thu,2,290.79
green,3,Thu,3,209.09
green,3,Thu,4,200.49
green,3,Thu,5,194.09
green,3,Thu,6,371.2
green,3,Thu,7,795.86
green,3,Thu,8,1177.95
green,3,Thu,9,1170.72
green,3,Thu,10,1048.3
green,3,Thu,11,1000.27
green,3,Thu,12,997.49
green,3,Thu,13,1003.07
green,3,Thu,14,1127.58
green,3,Thu,15,1247.94
green,3,Thu,16,1365.24
green,3,Thu,17,1519.49
green,3,Thu,18,1647.14
green,3,Thu,19,1575.48
green,3,Thu,20,1401.12
green,3,Thu,21,1318.9
green,3,Thu,22,1224.34
green,3,Thu,23,1086.78
green,4,Fri,0,855.01
green,4,Fri,1,608.22
green,4,Fri,2,406.64
green,4,Fri,3,288.14
green,4,Fri,4,253.28
green,4,Fri,5,213.96
green,4,Fri,6,374.14
green,4,Fri,7,779.17
green,4,Fri,8,1157.29
green,4,Fri,9,1178.13
green,4,Fri,10,1063.75
green,4,Fri,11,1011.55
green,4,Fri,12,963.0
green,4,Fri,13,942.25
green,4,Fri,14,1147.95
green,4,Fri,15,1332.39
green,4,Fri,16,1487.45
green,4,Fri,17,1674.06
green,4,Fri,18,1847.35
green,4,Fri,19,1835.2
green,4,Fri,20,1673.65
green,4,Fri,21,1627.17
green,4,Fri,22,1633.83
green,4,Fri,23,1642.58
green,5,Sat,0,1528.37
green,5,Sat,1,1317.35
green,5,Sat,2,1069.83
green,5,Sat,3,853.9
green,5,Sat,4,658.73
green,5,Sat,5,347.64
green,5,Sat,6,300.02
green,5,Sat,7,399.92
green,5,Sat,8,586.76
green,5,Sat,9,797.42
green,5,Sat,10,924.06
green,5,Sat,11,1033.67
green,5,Sat,12,1112.27
green,5,Sat,13,1157.2
green,5,Sat,14,1264.58
green,5,Sat,15,1385.28
green,5,Sat,16,1476.22
green,5,Sat,17,1553.48
green,5,Sat,18,1693.99
green,5,Sat,19,1744.0
green,5,Sat,20,1655.27
green,5,Sat,21,1665.48
green,5,Sat,22,1708.93
green,5,Sat,23,1756.72
green,6,Sun,0,1648.42
green,6,Sun,1,1502.21
green,6,Sun,2,1207.56
green,6,Sun,3,1005.94
green,6,Sun,4,769.61
green,6,Sun,5,390.95
green,6,Sun,6,280.09
green,6,Sun,7,317.45
green,6,Sun,8,424.01
green,6,Sun,9,620.69
green,6,Sun,10,793.84
green,6,Sun,11,912.61
green,6,Sun,12,994.34
green,6,Sun,13,1042.97
green,6,Sun,14,1143.49
green,6,Sun,15,1212.68
green,6,Sun,16,1257.88
green,6,Sun,17,1280.25
green,6,Sun,18,1327.3
green,6,Sun,19,1251.73
green,6,Sun,20,1132.46
green,6,Sun,21,1051.02
green,6,Sun,22,976.26
green,6,Sun,23,844.87
hvfhs,0,Mon,0,15453.22
hvfhs,0,Mon,1,9477.09
hvfhs,0,Mon,2,6306.65
hvfhs,0,Mon,3,4955.81
hvfhs,0,Mon,4,6042.01
hvfhs,0,Mon,5,9101.23
hvfhs,0,Mon,6,15226.98
hvfhs,0,Mon,7,22956.07
hvfhs,0,Mon,8,28507.72
hvfhs,0,Mon,9,25209.03
hvfhs,0,Mon,10,21521.17
hvfhs,0,Mon,11,20698.21
hvfhs,0,Mon,12,21089.99
hvfhs,0,Mon,13,21948.42
hvfhs,0,Mon,14,23993.28
hvfhs,0,Mon,15,24956.37
hvfhs,0,Mon,16,25349.45
hvfhs,0,Mon,17,28142.65
hvfhs,0,Mon,18,29003.45
hvfhs,0,Mon,19,26883.36
hvfhs,0,Mon,20,24697.62
hvfhs,0,Mon,21,23510.26
hvfhs,0,Mon,22,21825.16
hvfhs,0,Mon,23,17953.52
hvfhs,1,Tue,0,12421.21
hvfhs,1,Tue,1,7363.05
hvfhs,1,Tue,2,4832.87
hvfhs,1,Tue,3,3889.15
hvfhs,1,Tue,4,5087.01
hvfhs,1,Tue,5,8463.55
hvfhs,1,Tue,6,15364.92
hvfhs,1,Tue,7,24588.75
hvfhs,1,Tue,8,30385.59
hvfhs,1,Tue,9,26542.42
hvfhs,1,Tue,10,22252.25
hvfhs,1,Tue,11,21095.48
hvfhs,1,Tue,12,21557.88
hvfhs,1,Tue,13,22342.82
hvfhs,1,Tue,14,24482.89
hvfhs,1,Tue,15,25639.85
hvfhs,1,Tue,16,26255.98
hvfhs,1,Tue,17,29693.72
hvfhs,1,Tue,18,31270.06
hvfhs,1,Tue,19,29550.2
hvfhs,1,Tue,20,27385.07
hvfhs,1,Tue,21,26601.32
hvfhs,1,Tue,22,25246.39
hvfhs,1,Tue,23,20706.15
hvfhs,2,Wed,0,14106.74
hvfhs,2,Wed,1,8520.18
hvfhs,2,Wed,2,5640.01
hvfhs,2,Wed,3,4457.2
hvfhs,2,Wed,4,5462.53
hvfhs,2,Wed,5,8683.1
hvfhs,2,Wed,6,15594.72
hvfhs,2,Wed,7,24912.3
hvfhs,2,Wed,8,30775.26
hvfhs,2,Wed,9,27253.62
hvfhs,2,Wed,10,22920.98
hvfhs,2,Wed,11,21817.0
hvfhs,2,Wed,12,22365.88
hvfhs,2,Wed,13,23244.81
hvfhs,2,Wed,14,25503.56
hvfhs,2,Wed,15,26502.66
hvfhs,2,Wed,16,27294.78
hvfhs,2,Wed,17,31158.32
hvfhs,2,Wed,18,33075.69
hvfhs,2,Wed,19,31729.18
hvfhs,2,Wed,20,29225.99
hvfhs,2,Wed,21,28420.35
hvfhs,2,Wed,22,27299.73
hvfhs,2,Wed,23,22975.32
hvfhs,3,Thu,0,15645.47
hvfhs,3,Thu,1,9469.05
hvfhs,3,Thu,2,6209.02
hvfhs,3,Thu,3,4855.67
hvfhs,3,Thu,4,5880.59
hvfhs,3,Thu,5,9056.71
hvfhs,3,Thu,6,15982.41
hvfhs,3,Thu,7,25280.93
hvfhs,3,Thu,8,31160.01
hvfhs,3,Thu,9,27678.99
hvfhs,3,Thu,10,23502.89
hvfhs,3,Thu,11,22620.14
hvfhs,3,Thu,12,23135.35
hvfhs,3,Thu,13,24130.29
hvfhs,3,Thu,14,26444.86
hvfhs,3,Thu,15,27742.63
hvfhs,3,Thu,16,28784.32
hvfhs,3,Thu,17,32580.93
hvfhs,3,Thu,18,34801.53
hvfhs,3,Thu,19,33960.12
hvfhs,3,Thu,20,31635.66
hvfhs,3,Thu,21,30986.4
hvfhs,3,Thu,22,30442.65
hvfhs,3,Thu,23,26854.14
hvfhs,4,Fri,0,19885.97
hvfhs,4,Fri,1,12896.43
hvfhs,4,Fri,2,8699.68
hvfhs,4,Fri,3,6479.39
hvfhs,4,Fri,4,6961.9
hvfhs,4,Fri,5,9587.55
hvfhs,4,Fri,6,16067.24
hvfhs,4,Fri,7,24894.03
hvfhs,4,Fri,8,30678.3
hvfhs,4,Fri,9,27562.11
hvfhs,4,Fri,10,24400.16
hvfhs,4,Fri,11,23910.59
hvfhs,4,Fri,12,24723.08
hvfhs,4,Fri,13,26036.47
hvfhs,4,Fri,14,28378.61
hvfhs,4,Fri,15,29570.4
hvfhs,4,Fri,16,30920.79
hvfhs,4,Fri,17,34866.11
hvfhs,4,Fri,18,38042.36
hvfhs,4,Fri,19,39454.32
hvfhs,4,Fri,20,36771.0
hvfhs,4,Fri,21,35298.96
hvfhs,4,Fri,22,36975.41
hvfhs,4,Fri,23,36740.93
hvfhs,5,Sat,0,31910.3
hvfhs,5,Sat,1,25132.31
hvfhs,5,Sat,2,19208.55
hvfhs,5,Sat,3,14333.8
hvfhs,5,Sat,4,11108.75
hvfhs,5,Sat,5,9077.93
hvfhs,5,Sat,6,11161.52
hvfhs,5,Sat,7,14060.75
hvfhs,5,Sat,8,17944.09
hvfhs,5,Sat,9,21924.41
hvfhs,5,Sat,10,24661.8
hvfhs,5,Sat,11,26955.18
hvfhs,5,Sat,12,28560.75
hvfhs,5,Sat,13,29794.93
hvfhs,5,Sat,14,30811.43
hvfhs,5,Sat,15,31859.45
hvfhs,5,Sat,16,32911.73
hvfhs,5,Sat,17,35513.98
hvfhs,5,Sat,18,38147.91
hvfhs,5,Sat,19,39611.03
hvfhs,5,Sat,20,38160.7
hvfhs,5,Sat,21,37535.68
hvfhs,5,Sat,22,39107.84
hvfhs,5,Sat,23,39305.88
hvfhs,6,Sun,0,35224.58
hvfhs,6,Sun,1,29228.93
hvfhs,6,Sun,2,21638.09
hvfhs,6,Sun,3,16872.88
hvfhs,6,Sun,4,12765.47
hvfhs,6,Sun,5,9395.88
hvfhs,6,Sun,6,10232.61
hvfhs,6,Sun,7,12031.64
hvfhs,6,Sun,8,14180.61
hvfhs,6,Sun,9,18117.42
hvfhs,6,Sun,10,22597.4
hvfhs,6,Sun,11,25245.93
hvfhs,6,Sun,12,26543.47
hvfhs,6,Sun,13,27453.01
hvfhs,6,Sun,14,28460.01
hvfhs,6,Sun,15,28931.4
hvfhs,6,Sun,16,29057.14
hvfhs,6,Sun,17,29847.61
hvfhs,6,Sun,18,30578.77
hvfhs,6,Sun,19,28963.49
hvfhs,6,Sun,20,27428.95
hvfhs,6,Sun,21,26503.66
hvfhs,6,Sun,22,25451.79
hvfhs,6,Sun,23,21764.77
yellow,0,Mon,0,4731.65
yellow,0,Mon,1,2833.69
yellow,0,Mon,2,1842.6
yellow,0,Mon,3,1304.2
yellow,0,Mon,4,1454.14
yellow,0,Mon,5,2383.05
yellow,0,Mon,6,5859.87
yellow,0,Mon,7,9664.25
yellow,0,Mon,8,11608.81
yellow,0,Mon,9,11286.69
yellow,0,Mon,10,10493.13
yellow,0,Mon,11,10603.39
yellow,0,Mon,12,11173.45
yellow,0,Mon,13,11301.83
yellow,0,Mon,14,12153.14
yellow,0,Mon,15,12257.44
yellow,0,Mon,16,11354.41
yellow,0,Mon,17,13096.94
yellow,0,Mon,18,14865.27
yellow,0,Mon,19,14051.32
yellow,0,Mon,20,12867.47
yellow,0,Mon,21,12319.6
yellow,0,Mon,22,10739.06
yellow,0,Mon,23,7762.59
yellow,1,Tue,0,4905.13
yellow,1,Tue,1,2785.78
yellow,1,Tue,2,1697.72
yellow,1,Tue,3,1130.45
yellow,1,Tue,4,1215.53
yellow,1,Tue,5,2295.64
yellow,1,Tue,6,6252.0
yellow,1,Tue,7,10929.72
