start_station_id,start_station_name,start_lat,start_lng,end_station_id,end_station_name,end_lat,end_lng,trip_count,avg_duration_min
6925.09,2 Ave & E 72 St,40.7687620293096,-73.95840793848038,6889.12,E 72 St & York Ave,40.76663814,-73.95348296,4121,3.7
5216.06,Vesey St & Church St,40.71221958009051,-74.01047229766846,5470.12,North Moore St & Greenwich St,40.72019521437465,-74.0103006362915,4065,4.87
6726.01,11 Ave & W 41 St,40.76030096,-73.99884222,6602.05,W 42 St & 8 Ave,40.7575699,-73.99098507,4065,4.38
6602.05,W 42 St & 8 Ave,40.7575699,-73.99098507,6726.01,11 Ave & W 41 St,40.76030096,-73.99884222,4062,4.72
6170.09,Jackson Ave & 49 Ave,40.7429302,-73.952037,5944.01,Franklin St & Dupont St,40.73564,-73.95866,4059,5.96
7020.02,E 77 St & 1 Ave,40.77095553869235,-73.95356208096926,6925.09,2 Ave & E 72 St,40.7687620293096,-73.95840793848038,4032,4.06
5584.05,E 7 St & Ave B,40.7251285241158,-73.98131668567657,5712.03,Cooper Square & Astor Pl,40.72951496224949,-73.99075269699097,4017,4.77
7617.07,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,7617.07,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,4007,26.29
6566.01,Southpoint Park,40.75370225419114,-73.95865201950072,6599.01,Roosevelt Island Tramway,40.757284,-73.9536,4002,25.72
5303.08,Canal St & Rutgers St,40.71427487,-73.98990025,5294.04,Henry St & Grand St,40.714211,-73.981095,3963,4.03
6876.04,Central Park S & 6 Ave,40.76590936,-73.97634151,6912.01,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,3957,38.05
